tracks,title,artist,top genre,year,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
33,My World,Avril Lavigne,canadian pop,2002,2011-11-30,103,92,60,-5,10,70,207,1,5,49
34,Naked,Avril Lavigne,canadian pop,2002,2011-11-30,82,77,52,-6,10,46,209,0,4,48
35,Bad Reputation,Avril Lavigne,canadian pop,2011,2011-11-30,103,99,47,-3,17,93,162,0,4,47
36,Together,Avril Lavigne,canadian pop,2004,2011-11-30,82,86,44,-3,23,30,195,0,4,47
37,Too Much to Ask,Avril Lavigne,canadian pop,2002,2011-11-30,147,70,50,-7,10,41,225,1,3,47
38,Forgotten,Avril Lavigne,canadian pop,2004,2011-11-30,132,68,57,-3,21,35,197,0,3,46
39,How Does It Feel,Avril Lavigne,canadian pop,2004,2011-11-30,118,58,65,-5,12,34,225,2,3,46
40,Wish You Were Here - Acoustic Version,Avril Lavigne,canadian pop,2011,2011-11-30,166,55,41,-5,9,28,226,71,3,45
41,Freak Out,Avril Lavigne,canadian pop,2004,2011-11-30,160,89,46,-2,12,68,192,0,7,45
42,Who Knows,Avril Lavigne,canadian pop,2004,2011-11-30,162,81,45,-3,11,37,210,0,4,45
43,Push,Avril Lavigne,canadian pop,2011,2011-11-30,184,68,52,-5,8,47,181,1,9,44
44,Contagious,Avril Lavigne,canadian pop,2007,2011-11-30,158,91,45,-4,32,44,129,0,5,44
45,Stop Standing There,Avril Lavigne,canadian pop,2011,2011-11-30,142,89,64,-5,7,91,207,0,5,43
46,Darlin,Avril Lavigne,canadian pop,2011,2011-11-30,179,58,37,-5,8,40,231,21,3,43
47,Not Enough,Avril Lavigne,canadian pop,2011,2011-11-30,136,88,52,-4,10,24,259,0,4,43
48,I Don't Have To Try,Avril Lavigne,canadian pop,2007,2011-11-30,212,97,42,-3,8,25,197,0,35,43
49,One of Those Girls,Avril Lavigne,canadian pop,2007,2011-11-30,92,93,51,-3,15,74,175,0,4,43
50,Knockin' on Heaven's Door - Studio Version,Avril Lavigne,canadian pop,2004,2011-11-30,138,30,63,-8,16,22,171,84,3,43
51,Black Star,Avril Lavigne,canadian pop,2011,2011-11-30,128,33,54,-9,19,20,94,61,3,42
52,4 Real,Avril Lavigne,canadian pop,2011,2011-11-30,78,84,52,-6,11,28,208,0,3,42
53,I Always Get What I Want,Avril Lavigne,canadian pop,2004,2011-11-30,91,91,61,-3,8,78,151,0,13,42
54,What The Hell - Acoustic Version,Avril Lavigne,canadian pop,2011,2011-11-30,150,67,61,-3,11,52,221,52,3,39
55,Push - Acoustic Version,Avril Lavigne,canadian pop,2011,2011-11-30,92,59,50,-5,31,16,166,7,3,37
56,Imagine,Avril Lavigne,canadian pop,2007,2011-11-30,147,25,29,-11,9,21,192,93,3,36
57,Alice,Avril Lavigne,canadian pop,2010,2011-11-30,119,75,55,-5,14,13,216,5,7,35
58,Nobody's Home - Live Acoustic Version,Avril Lavigne,canadian pop,2010,2011-11-30,171,51,42,-6,95,34,218,27,3,32
59,Smile - Radio Edit,Avril Lavigne,canadian pop,2011,2011-11-30,105,85,63,-4,8,67,209,0,4,0
60,Goodbye,Avril Lavigne,canadian pop,2011,2011-11-30,87,33,19,-7,12,26,329,72,3,0
61,I Can Do Better,Avril Lavigne,canadian pop,2007,2011-11-30,172,98,44,-3,64,29,195,0,18,0
62,Everything Back But You,Avril Lavigne,canadian pop,2007,2011-11-30,130,97,54,-3,35,50,182,1,17,0
